,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
AMKR-KNX,2085.5081924839587,2128.171143851522,1996.3367074606663,14.95709360670454,0.9332577172238465,0.5089537629031327,0.6094274463929751,0.2298779634609469,0.9030579457997953
AMKR-CLB,,,,,,,,,
AMKR-EQT,,,,,,,,,
AMKR-ALE,,,,,,,,,
AMKR-APOG,,,,,,,,,
AMKR-WABC,1437.4415027906648,1452.1335705353868,1438.4850002497728,26.518448280468697,1.6313360385037277,0.9154160222132718,0.45869955961637954,0.18199932918088452,0.86898308442404
AMKR-QRTEA,,,,,,,,,
AMKR-SSB,,,,,,,,,
AMKR-UHAL,,,,,,,,,
AMKR-HRI,,,,,,,,,
AMKR-KALU,2078.0072455138284,2077.3073286221443,2063.378565154508,15.875698229435445,2.3088401790824835,0.6999722113776502,0.4789268672057773,0.47343506955428205,0.5462676430313416
AMKR-AZZ,,,,,,,,,
AMKR-CBSH,,,,,,,,,
AMKR-FSLR,,,,,,,,,
AMKR-SPR,1271.8873910573716,1277.336328495559,1278.4426315235899,8.2229221406084,1.1770030064521568,0.986164718483132,0.42669883976169604,0.16002013400143347,0.8774498351978822
AMKR-KMPR,,,,,,,,,
AMKR-THO,,,,,,,,,
AMKR-ACHC,,,,,,,,,
AMKR-M,,,,,,,,,
AMKR-USM,,,,,,,,,
AMKR-LTC,,,,,,,,,
AMKR-SAFT,,,,,,,,,
AMKR-CMC,80.12453817223843,87.76032836395314,79.98300569335231,7.699079705580061,0.7761968697111638,0.9375744786480551,0.23029489796344332,0.09993421211833274,0.8457184577886987
AMKR-MLI,384.4084799192234,384.30818705350407,382.0778702817155,4.418941872886988,0.85243066893195,0.9056222145557093,0.2212667629769838,0.19016570119184903,0.5869291746855327
AMKR-XRX,,,,,,,,,
AMKR-INT,1958.4912959476947,1959.657935040415,1954.5343795256208,10.757968418330304,1.7643567897917558,0.8820058399548041,0.4968456800773594,0.40013235797499147,0.6209958423521258
AMKR-NHI,,,,,,,,,
AMKR-RCII,,,,,,,,,
AMKR-DEI,,,,,,,,,
AMKR-SCL,,,,,,,,,
AMKR-WWW,,,,,,,,,
AMKR-BC,,,,,,,,,
AMKR-MTG,,,,,,,,,
AMKR-SWN,2324.367656172358,2330.2574015062783,2328.6616156612213,27.789479067668452,2.2667016983359525,0.9866149534971681,0.7655098210057381,0.06710711059040993,0.9924244060797982
AMKR-JWN,,,,,,,,,
AMKR-SRCL,,,,,,,,,
AMKR-BCO,,,,,,,,,
AMKR-CMP,,,,,,,,,
AMKR-TOL,1424.106213982757,1423.6165222569732,1424.3839817165292,11.096671796324232,1.1122151215885034,0.9301361971924758,0.3468496756009453,0.346166629908388,0.5098734822944943
AMKR-HNI,1291.1042878262356,1290.3542700416954,1287.690545644932,4.676598507208118,1.6463332970251956,0.8988029316093729,0.34656594654030487,0.2991490773713086,0.5856923171300782
AMKR-MIC,,,,,,,,,
AMKR-CORE,,,,,,,,,
AMKR-PRGO,,,,,,,,,
AMKR-WEN,-2401.5854093422254,-2399.506241652588,-2404.670118775979,2.5252899015984283,0.15064077962223923,0.8177363103910763,0.05124575306521064,0.05188859345017665,0.517648355644836
AMKR-TGNA,,,,,,,,,
AMKR-MAC,,,,,,,,,
AMKR-CACI,2448.0528785398383,2449.0430910808855,2450.8814570438362,33.61041039610694,2.128158041067926,0.9820685139668085,0.71009536335935,0.4032806852847098,0.7577786065465622
AMKR-EBIX,,,,,,,,,
AMKR-RGR,,,,,,,,,
AMKR-LAZ,,,,,,,,,
AMKR-SFNC,,,,,,,,,
AMKR-HLX,1124.226890313837,1123.8405644940483,1124.8706169412483,4.637005952013643,1.3437135756337197,0.9595676151096877,0.3299220403536146,0.26343986470743314,0.6154987459143064
AMKR-AUB,,,,,,,,,
AMKR-FUL,,,,,,,,,
AMKR-TILE,,,,,,,,,
AMKR-WNC,,,,,,,,,
SKYW-GCO,,,,,,,,,
SKYW-CRS,2418.866670895442,2420.096992787653,2420.6114647690406,4.888760812492194,1.21407028637594,0.9247102814044112,0.5692150851917305,0.5684001335861072,0.5103078396898368
SKYW-SCHN,2490.0390913976967,2490.755408014896,2489.481728027167,26.76406777939195,1.134274473448563,0.905535557858139,0.6096383644761386,0.5668539486676455,0.5483268080044227
SKYW-AMG,,,,,,,,,
SKYW-LANC,,,,,,,,,
SKYW-ON,-565.487309215972,-560.1646214118058,-569.0374994858472,4.695331352650444,0.23903143584503578,0.9836393607067152,0.17417571036729224,-0.05198318473443137,0.9188260626420394
SKYW-SLG,,,,,,,,,
SKYW-SWM,,,,,,,,,
SKYW-TCBI,,,,,,,,,
SKYW-PNW,,,,,,,,,
SKYW-NWBI,,,,,,,,,
SKYW-NJR,,,,,,,,,
SKYW-GFF,-220.43231526601403,-211.4916971028938,-214.63230629783038,3.9373421384797482,0.34473685527520237,0.9476081995730564,0.1892582882586531,0.10578522586772529,0.7667319004542082
SKYW-KOP,2080.695867969521,2081.771844361921,2081.0622221103545,13.302050685993061,1.0446927148152094,0.9240251935147912,0.5108318420925598,0.4478981073886305,0.5748524510947695
SKYW-JNPR,1500.7282751655293,1500.8492791905028,1498.591088002478,15.274716176346942,0.5871433006679289,0.9945572351052447,0.43050842801985895,-0.2705562569485091,0.7174198066061495
SKYW-HA,,,,,,,,,
SKYW-CVI,,,,,,,,,
SKYW-ISBC,,,,,,,,,
SKYW-NXGN,,,,,,,,,
SKYW-ASTE,1898.8317779686727,1902.8711967884005,1900.205499611337,16.11134855311132,1.007034341048256,0.9458773362841414,0.5333218397371271,0.3179839445790559,0.7430119581011745
SKYW-NYT,-48.30578840298506,-41.194114156192654,-40.15511669544139,2.135523333750604,0.3189971516978125,0.9880284392813243,0.2273830921459645,0.06495107441398906,0.9249793252928341
SKYW-UNM,,,,,,,,,
SKYW-ABG,,,,,,,,,
SKYW-SPWR,,,,,,,,,
SKYW-SYNA,,,,,,,,,
SKYW-GIC,,,,,,,,,
SKYW-MDC,790.0525477218257,790.2398488040374,790.2598156148307,9.585064815707383,0.520689564223682,0.9959993931803178,0.323577108981784,-0.151882911722269,0.8197504052288241
SKYW-AMKR,,,,,,,,,
SKYW-NSIT,1141.0888152386083,1144.1666032441249,1142.6019621625426,5.061049284133822,0.5217371370886087,0.9697047892435954,0.3908531042895383,0.1692801591789861,0.8440685097542519
SKYW-RUSHA,29.557388264919382,29.676213975224528,31.989098961275886,3.9060142181204767,0.39908322652818035,0.9784554196040495,0.19480266396754894,0.14878031923161475,0.6341038433309485
SKYW-BECN,,,,,,,,,
SKYW-FHN,,,,,,,,,
SKYW-PFS,,,,,,,,,
SKYW-ENR,2693.142130169492,2692.6155450656256,2693.326034482087,34.096568647122666,1.060775725506141,0.9452240542758081,0.6914018954371255,0.608911038428236,0.5700041772333965
SKYW-RLI,,,,,,,,,
SKYW-ACM,,,,,,,,,
SKYW-DBD,,,,,,,,,
SKYW-SNV,1337.9171201142433,1342.9585700208024,1344.0249431470147,11.262947523621392,0.500819077498896,0.9858374112947127,0.44120180552372096,0.16438807858819748,0.878857083131205
SKYW-UFCS,,,,,,,,,
SKYW-SBGI,,,,,,,,,
SKYW-WW,3565.000115923209,3565.4124850461226,3569.3714276642886,17.379092383188276,0.696027237845907,0.995803941281127,1.0825959144303177,0.9161459319906482,0.5832144220465089
SKYW-SLM,,,,,,,,,
SKYW-GBX,1489.8503587775378,1492.3875126287742,1494.2655326622282,0.2562996680270082,0.622761838483331,0.9820252314147363,0.43612566380770024,0.2592725174423506,0.7406076963255452
SKYW-KNX,,,,,,,,,
SKYW-CLB,,,,,,,,,
SKYW-EQT,,,,,,,,,
SKYW-ALE,,,,,,,,,
SKYW-APOG,,,,,,,,,
SKYW-WABC,,,,,,,,,
SKYW-QRTEA,,,,,,,,,
SKYW-SSB,,,,,,,,,
SKYW-UHAL,,,,,,,,,
SKYW-HRI,,,,,,,,,
SKYW-KALU,2145.3248200074104,2145.278050272131,2138.3096210320423,15.918083793534374,1.1351394862728144,0.8926889655942634,0.5772108207748056,0.3942650261087846,0.6937090354133248
SKYW-AZZ,,,,,,,,,
SKYW-CBSH,,,,,,,,,
SKYW-FSLR,,,,,,,,,
SKYW-SPR,,,,,,,,,
SKYW-KMPR,,,,,,,,,
SKYW-THO,,,,,,,,,
SKYW-ACHC,,,,,,,,,
SKYW-M,,,,,,,,,
SKYW-USM,,,,,,,,,
SKYW-LTC,,,,,,,,,
SKYW-SAFT,,,,,,,,,
SKYW-CMC,169.2390005342197,184.47338629647425,174.70158704378514,8.168602996285259,0.3371953738038252,0.9493812015725712,0.2532066106628494,0.07167712017989436,0.927553599971947
SKYW-MLI,379.5200461179171,378.8854257119607,378.25859584603097,3.8490877970852466,0.48387070784699293,0.9321280894602421,0.22347514286609402,0.18670283471070603,0.5972666687852317
SKYW-XRX,609.8339407481363,615.0895217285602,617.3104571606507,7.9213351123172835,0.5248453010579942,0.9786176299620684,0.2514873451597084,0.21081211288773205,0.5899114998439542
SKYW-INT,2012.0845779031101,2013.5460767888087,2011.4326285664552,11.061469462407054,0.8443778314550672,0.9228576574564419,0.5173648537048525,0.40373245513518424,0.6307245924588752
SKYW-NHI,,,,,,,,,
SKYW-RCII,,,,,,,,,
SKYW-DEI,,,,,,,,,
SKYW-SCL,,,,,,,,,
SKYW-WWW,,,,,,,,,
SKYW-BC,,,,,,,,,
SKYW-MTG,,,,,,,,,
SKYW-SWN,2419.392741545887,2428.945218536523,2423.313046720131,29.487309095146422,0.957781385122677,0.973054405526174,0.7950513887504177,0.12930337451866208,0.9745697112140843
SKYW-JWN,,,,,,,,,
SKYW-SRCL,,,,,,,,,
SKYW-BCO,,,,,,,,,
SKYW-CMP,,,,,,,,,
SKYW-TOL,,,,,,,,,
SKYW-HNI,1376.725147446507,1378.5856743738852,1376.775554230414,4.928104412576104,0.7944263254628369,0.9217273528514164,0.3726311747169445,0.30028582216572214,0.615769827904946
SKYW-MIC,,,,,,,,,
SKYW-CORE,,,,,,,,,
SKYW-PRGO,,,,,,,,,
SKYW-WEN,-2384.909665166939,-2380.30658862717,-2384.9203863800512,2.507463431760983,0.07722570290446516,0.8903591282705209,0.05762526579974955,0.04586319784160529,0.6255039926290173
SKYW-TGNA,,,,,,,,,
SKYW-MAC,,,,,,,,,
SKYW-CACI,2523.672004205479,2526.059205787669,2526.8608802057743,35.184763433897935,0.895223278961465,0.9833277332123438,0.7890976397190057,0.31075167670384324,0.8667083504892492
SKYW-EBIX,,,,,,,,,
SKYW-RGR,,,,,,,,,
SKYW-LAZ,,,,,,,,,
SKYW-SFNC,,,,,,,,,
SKYW-HLX,1196.6833329521007,1196.8995919348836,1196.0700315436216,4.903197629139863,0.6398401017993981,0.9661465632434232,0.385545124135419,0.2066161053286954,0.7798277858849847
SKYW-AUB,,,,,,,,,
SKYW-FUL,,,,,,,,,
SKYW-TILE,,,,,,,,,
SKYW-WNC,,,,,,,,,
NSIT-GCO,,,,,,,,,
NSIT-CRS,2342.7310514058295,2346.164005520971,2343.9719059851664,7.2394498317081535,0.9143335472963718,0.9444608089970892,0.6525927422982275,0.4167688237408719,0.7160609343499629
NSIT-SCHN,,,,,,,,,
NSIT-AMG,,,,,,,,,
NSIT-LANC,,,,,,,,,
NSIT-ON,,,,,,,,,
NSIT-SLG,,,,,,,,,
NSIT-SWM,,,,,,,,,
NSIT-TCBI,,,,,,,,,
NSIT-PNW,,,,,,,,,
NSIT-NWBI,-2177.545185951938,-2178.235519860997,-2187.200248105053,3.505734701508514,0.10795379365615997,0.8758655514656695,0.06774050885474434,0.04488489531922677,0.7083209087668149
NSIT-NJR,,,,,,,,,
NSIT-GFF,-326.5256845541652,-324.0633452258993,-324.2552945967092,4.470017309492276,0.270046537427736,0.9516670245040059,0.16548080432604714,0.12152127448046927,0.6552042939724818
NSIT-KOP,,,,,,,,,
NSIT-JNPR,,,,,,,,,
NSIT-HA,,,,,,,,,
NSIT-CVI,,,,,,,,,
NSIT-ISBC,,,,,,,,,
NSIT-NXGN,,,,,,,,,
NSIT-ASTE,1755.1741551513262,1772.9538716341965,1760.4362963957992,17.6093812473748,0.8152025895779655,0.9018272526406759,0.5206629952435026,0.25376796303392624,0.8157324117069731
NSIT-NYT,-70.09996044836578,-67.0294592922171,-64.87009974083992,2.9210406134825755,0.21958163424281354,0.9942084316982164,0.2308790261716786,0.035470064862496244,0.9770071246625445
NSIT-UNM,,,,,,,,,
NSIT-ABG,1469.7324064233521,1470.3388116087913,1469.5952460746719,4.5628200046482945,0.5558813126444093,0.9017883998563635,0.3557547996000314,0.3530212491654439,0.5164389300776646
NSIT-SPWR,,,,,,,,,
NSIT-SYNA,,,,,,,,,
NSIT-GIC,,,,,,,,,
NSIT-MDC,,,,,,,,,
NSIT-AMKR,,,,,,,,,
NSIT-SKYW,,,,,,,,,
NSIT-RUSHA,,,,,,,,,
NSIT-BECN,,,,,,,,,
NSIT-FHN,,,,,,,,,
NSIT-PFS,,,,,,,,,
NSIT-ENR,,,,,,,,,
NSIT-RLI,,,,,,,,,
NSIT-ACM,,,,,,,,,
NSIT-DBD,,,,,,,,,
NSIT-SNV,1329.077936446702,1332.2255678424121,1333.9390980719518,12.595073793364474,0.33820534446544376,0.9814625708027572,0.40574369163618895,0.2341814933792539,0.7518610010822937
NSIT-UFCS,,,,,,,,,
NSIT-SBGI,,,,,,,,,
NSIT-WW,,,,,,,,,
NSIT-SLM,,,,,,,,,
NSIT-GBX,1374.7959618221616,1378.160339780978,1380.706281440894,0.6653867230847279,0.5408339702054918,0.9921083493667597,0.44594772894292306,0.17622080229784176,0.8653996711095556
NSIT-KNX,2110.918610940856,2131.0835291399094,2010.4168016817412,16.074232174297936,0.31794070639686556,0.5067571985514625,0.6046526535639343,0.2542171937172376,0.8824789773703414
NSIT-CLB,,,,,,,,,
NSIT-EQT,,,,,,,,,
NSIT-ALE,,,,,,,,,
NSIT-APOG,,,,,,,,,
NSIT-WABC,,,,,,,,,
NSIT-QRTEA,,,,,,,,,
NSIT-SSB,,,,,,,,,
NSIT-UHAL,,,,,,,,,
NSIT-HRI,,,,,,,,,
NSIT-KALU,2043.211075258001,2043.782241823458,2038.4433079448113,17.997792105155114,0.8730799958258798,0.8061996916119074,0.46276621368987364,0.4777503556474326,0.5095462104251061
NSIT-AZZ,,,,,,,,,
NSIT-CBSH,,,,,,,,,
NSIT-FSLR,,,,,,,,,
NSIT-SPR,,,,,,,,,
NSIT-KMPR,,,,,,,,,
NSIT-THO,,,,,,,,,
NSIT-ACHC,,,,,,,,,
NSIT-M,,,,,,,,,
NSIT-USM,,,,,,,,,
NSIT-LTC,,,,,,,,,
NSIT-SAFT,,,,,,,,,
NSIT-CMC,115.26744430115912,121.90392585770792,119.24382712701345,8.73945837878988,0.2570829560610658,0.9702881239232608,0.24107563156897346,0.0861153216330338,0.8883318761090895
NSIT-MLI,254.86301787716275,254.04346722013418,249.46583500124348,4.617742598778848,0.381939638919423,0.924129936809006,0.2301172590961705,0.14712399186084354,0.7177442780836204
NSIT-XRX,,,,,,,,,
NSIT-INT,1966.9772604353852,1970.5332628275523,1967.5815860993998,12.855914114155933,0.6172963226724936,0.8659471939181932,0.4591183156824382,0.44887574814042613,0.5285942732659652
NSIT-NHI,,,,,,,,,
NSIT-RCII,,,,,,,,,
NSIT-DEI,,,,,,,,,
NSIT-SCL,,,,,,,,,
NSIT-WWW,,,,,,,,,
NSIT-BC,,,,,,,,,
NSIT-MTG,,,,,,,,,
NSIT-SWN,2404.9482426371133,2407.7855112696043,2408.113490432116,31.82937901029068,0.6579623181721663,0.9842121252050605,0.7572345082689288,0.2562870710004765,0.8979521415337296
NSIT-JWN,,,,,,,,,
NSIT-SRCL,,,,,,,,,
NSIT-BCO,,,,,,,,,
NSIT-CMP,,,,,,,,,
NSIT-TOL,,,,,,,,,
NSIT-HNI,,,,,,,,,
NSIT-MIC,,,,,,,,,
NSIT-CORE,,,,,,,,,
NSIT-PRGO,,,,,,,,,
NSIT-WEN,-2408.1903916325355,-2401.076238645708,-2406.011728111236,2.6839381487089535,0.05483624711270843,0.813067973922901,0.050612730063625586,0.05243862708142154,0.506811092467681
NSIT-TGNA,,,,,,,,,
NSIT-MAC,,,,,,,,,
NSIT-CACI,2333.1662452158516,2337.215172164064,2337.567317439648,33.92985885138474,0.9672844545149599,0.9879009477880507,0.7607084226865045,0.1307188961405263,0.9714870562338499
NSIT-EBIX,1673.454796554953,1676.8376201991277,1678.8154570991924,5.969173116740433,0.3974682350749829,0.9978099215007015,0.5186226583542539,-0.20087046671885941,0.8696795342373038
NSIT-RGR,,,,,,,,,
NSIT-LAZ,,,,,,,,,
NSIT-SFNC,,,,,,,,,
NSIT-HLX,1135.070777947403,1136.7832875627628,1134.7714042100001,6.218071509362022,0.47455122078313866,0.9624617015684496,0.38081491716968247,0.18706641521853484,0.8085548300945311
NSIT-AUB,,,,,,,,,
NSIT-FUL,,,,,,,,,
NSIT-TILE,,,,,,,,,
NSIT-WNC,,,,,,,,,
RUSHA-GCO,,,,,,,,,
RUSHA-CRS,2258.9469488346467,2262.3126786886505,2262.1357436547555,3.1631979683359557,1.7209765883838948,0.925261436808028,0.5471006061247332,0.5033553235219941,0.5510114418322642
RUSHA-SCHN,2355.9246036211634,2355.649237738872,2353.961229437674,24.917483294757176,1.629243033948176,0.9006534532231223,0.5721605898278018,0.5274418283133452,0.5532254936011384
RUSHA-AMG,3677.860923215738,3677.7433875126085,3668.6095573007137,23.21248389317656,4.397179731983749,0.8295657295622416,1.1545134906851626,0.9524579313003082,0.6162934819533431
RUSHA-LANC,,,,,,,,,
RUSHA-ON,,,,,,,,,
RUSHA-SLG,,,,,,,,,
RUSHA-SWM,,,,,,,,,
RUSHA-TCBI,,,,,,,,,
RUSHA-PNW,,,,,,,,,
RUSHA-NWBI,-2219.3551975514324,-2206.6583233954357,-2209.7898809783637,3.150476593714547,0.18617255199778324,0.8856006473892004,0.06083208937435813,0.05249872919445562,0.587480047303533
RUSHA-NJR,,,,,,,,,
RUSHA-GFF,-455.341983435639,-455.0137879645497,-453.6263517665575,3.1701422769291225,0.5218407146389349,0.9546396348620758,0.1432717988945735,0.1285814989655852,0.5595417533987774
RUSHA-KOP,1864.7850621521586,1872.247003103883,1868.707411098902,11.177360215621725,1.5735582552399054,0.9819946031735343,0.6090430504570062,0.05211652573416814,0.9927957741268848
RUSHA-JNPR,,,,,,,,,
RUSHA-HA,,,,,,,,,
RUSHA-CVI,,,,,,,,,
RUSHA-ISBC,,,,,,,,,
RUSHA-NXGN,,,,,,,,,
RUSHA-ASTE,1600.143963747949,1617.5505075259152,1600.230441297619,13.63254845869641,1.5664527779612036,0.9053945045570907,0.5018782044329422,0.18485470495616158,0.8855461377869972
RUSHA-NYT,,,,,,,,,
RUSHA-UNM,,,,,,,,,
RUSHA-ABG,,,,,,,,,
RUSHA-SPWR,,,,,,,,,
RUSHA-SYNA,,,,,,,,,
RUSHA-GIC,,,,,,,,,
RUSHA-MDC,,,,,,,,,
RUSHA-AMKR,,,,,,,,,
RUSHA-SKYW,,,,,,,,,
RUSHA-NSIT,,,,,,,,,
RUSHA-BECN,,,,,,,,,
RUSHA-FHN,,,,,,,,,
RUSHA-PFS,-1171.3857574693332,-1164.1928191121797,-1169.1304710668041,2.9327096849933825,0.36156456369087414,0.8652031953795704,0.10190458026518984,0.08831987902877682,0.588052552299392
RUSHA-ENR,2574.3227777450306,2575.700001138216,2577.24234331352,31.805062300884558,1.599629663223677,0.9747555895272111,0.7242835507058693,0.48127996947250756,0.6963909052866682
RUSHA-RLI,,,,,,,,,
RUSHA-ACM,,,,,,,,,
RUSHA-DBD,,,,,,,,,
RUSHA-SNV,1292.1711083163357,1295.167949924345,1296.5790559209638,10.978097865635473,0.6542943020510904,0.979192723607633,0.39731369965534763,0.23152097907148586,0.7484889355274719
RUSHA-UFCS,,,,,,,,,
RUSHA-SBGI,,,,,,,,,
RUSHA-WW,,,,,,,,,
RUSHA-SLM,,,,,,,,,
RUSHA-GBX,1275.0021905278231,1283.568207927929,1282.8952975744044,-1.9341719809668296,1.0573495552012986,0.9757001681980358,0.4226533452538335,0.17310301358612792,0.8578510757889497
RUSHA-KNX,2090.8101019219785,2104.644008557686,1963.529412520409,14.100942150393347,0.6746277579342467,0.5161154443316057,0.6073153131808557,0.20442186089937905,0.9209059579935895
RUSHA-CLB,,,,,,,,,
RUSHA-EQT,,,,,,,,,
RUSHA-ALE,,,,,,,,,
RUSHA-APOG,,,,,,,,,
RUSHA-WABC,1315.8404638375382,1316.254670599083,1309.0609235202355,25.163543250452392,1.1595039457888696,0.7673943914876721,0.3196433681509697,0.3345607523838945,0.5081032015152467
RUSHA-QRTEA,,,,,,,,,
RUSHA-SSB,,,,,,,,,
RUSHA-UHAL,,,,,,,,,
RUSHA-HRI,,,,,,,,,
RUSHA-KALU,,,,,,,,,
RUSHA-AZZ,,,,,,,,,
RUSHA-CBSH,,,,,,,,,
RUSHA-FSLR,,,,,,,,,
RUSHA-SPR,1244.0220889307132,1247.2672192439588,1248.919079458538,7.891180833296443,0.7633429251717022,0.9942894539815199,0.4470056213999016,0.04303626779539301,0.9908418913888076
RUSHA-KMPR,,,,,,,,,
RUSHA-THO,,,,,,,,,
RUSHA-ACHC,,,,,,,,,
RUSHA-M,,,,,,,,,
RUSHA-USM,,,,,,,,,
RUSHA-LTC,,,,,,,,,
RUSHA-SAFT,,,,,,,,,
RUSHA-CMC,39.666950770433004,44.63607448741368,35.56413876329066,7.48021030212465,0.5034572170020226,0.9228561271252631,0.22135942395951635,0.10629099925449399,0.8185493218254027
RUSHA-MLI,256.9161989485315,258.23915877749664,253.33401735059806,3.5841701412098654,0.6317746968116805,0.9119797776562789,0.22568304835727776,0.15477167296588248,0.6898395273274291
RUSHA-XRX,,,,,,,,,
RUSHA-INT,1877.0646332227866,1882.7748286756164,1878.0040459912816,9.553468746944587,1.239447819992668,0.9178963397768723,0.5116857630311854,0.3395580815817757,0.7030886991594356
RUSHA-NHI,,,,,,,,,
RUSHA-RCII,,,,,,,,,
RUSHA-DEI,,,,,,,,,
RUSHA-SCL,,,,,,,,,
RUSHA-WWW,,,,,,,,,
RUSHA-BC,,,,,,,,,
RUSHA-MTG,,,,,,,,,
RUSHA-SWN,2349.7628606849917,2351.156658893797,2352.587059111097,28.477982367001548,1.297128151354568,0.9845875850615746,0.7040329294286043,0.3302617480225342,0.8207762158739048
RUSHA-JWN,,,,,,,,,
RUSHA-SRCL,,,,,,,,,
RUSHA-BCO,,,,,,,,,
RUSHA-CMP,,,,,,,,,
RUSHA-TOL,,,,,,,,,
RUSHA-HNI,1211.4545276863682,1217.1007681587046,1215.0999877800066,4.086946134737879,1.085009560553396,0.8906163415980416,0.3216012250470562,0.302597910289346,0.5443975596125962
RUSHA-MIC,,,,,,,,,
RUSHA-CORE,,,,,,,,,
RUSHA-PRGO,,,,,,,,,
RUSHA-WEN,-2476.1985497988862,-2461.4178625059258,-2469.5119231276176,2.3730584736635185,0.1127762997047901,0.8120274345514912,0.0522613289639156,0.04748677070074689,0.5720724871594426
RUSHA-TGNA,,,,,,,,,
RUSHA-MAC,,,,,,,,,
RUSHA-CACI,2316.595053603104,2324.2533008019027,2321.958851827174,31.01818448736197,1.6567344546364693,0.9838924858203731,0.7615173327389503,0.08169875891792917,0.9887116845649504
RUSHA-EBIX,,,,,,,,,
RUSHA-RGR,,,,,,,,,
RUSHA-LAZ,,,,,,,,,
RUSHA-SFNC,,,,,,,,,
RUSHA-HLX,1013.3157092918601,1017.84992367838,1015.9286221402014,3.698434678746777,0.9482773730050845,0.9761103467761617,0.3813661658060169,0.12040442901053153,0.9103425011096501
RUSHA-AUB,,,,,,,,,
RUSHA-FUL,,,,,,,,,
RUSHA-TILE,,,,,,,,,
RUSHA-WNC,,,,,,,,,
BECN-GCO,,,,,,,,,
BECN-CRS,2298.695530663073,2299.331826216923,2298.588098014151,2.518015927623898,0.9338142002935534,0.9125017022282831,0.5517385131794185,0.5183484065027311,0.5422957353605697
BECN-SCHN,,,,,,,,,
BECN-AMG,3795.10622053631,3797.1341384830316,3785.6154055344286,23.695277654287935,2.26184662362389,0.8253383802980937,1.2603359756121655,0.9634403275090988,0.652178280911545
BECN-LANC,,,,,,,,,
BECN-ON,,,,,,,,,
BECN-SLG,,,,,,,,,
BECN-SWM,,,,,,,,,
BECN-TCBI,,,,,,,,,
BECN-PNW,,,,,,,,,
BECN-NWBI,,,,,,,,,
BECN-NJR,,,,,,,,,
BECN-GFF,-339.4365576477164,-340.18479072529203,-338.635804793941,3.285382684620771,0.2615130002108292,0.9601614404996602,0.15399221933598076,0.13356217759887082,0.5756131158554814
BECN-KOP,1980.6463221825838,1984.7989681848378,1982.480085637369,11.722680228531232,0.7718322327213877,0.9031374677014153,0.4889794531679154,0.42348049427824924,0.583527072825745
BECN-JNPR,,,,,,,,,
BECN-HA,,,,,,,,,
BECN-CVI,,,,,,,,,
BECN-ISBC,,,,,,,,,
BECN-NXGN,,,,,,,,,
BECN-ASTE,1800.9476034669096,1802.4904328478374,1795.731240139434,14.746465650670002,0.7361470661588961,0.914660770150332,0.5060667786375943,0.3022842703181116,0.7453963847727613
BECN-NYT,-62.737911675539635,-61.009696776102714,-59.433708523192195,2.0801021158593795,0.20556749396312993,0.9953869644298607,0.2341453511432871,-0.005929362213654487,0.9993606123439867
BECN-UNM,,,,,,,,,
BECN-ABG,1395.1960255779281,1394.2515538229572,1386.779153223798,1.2283585456963966,0.6046692780838131,0.8783373796663227,0.3896039732962757,0.28200270396027965,0.6702217986391977
BECN-SPWR,,,,,,,,,
BECN-SYNA,,,,,,,,,
BECN-GIC,,,,,,,,,
BECN-MDC,671.2475665309354,673.051427545773,674.8031343989106,8.519655023719626,0.4057911300181463,0.9519892921446987,0.24136347254290835,0.23589701879945904,0.517521683510567
BECN-AMKR,,,,,,,,,
BECN-SKYW,,,,,,,,,
BECN-NSIT,,,,,,,,,
BECN-RUSHA,,,,,,,,,
BECN-FHN,,,,,,,,,
BECN-PFS,,,,,,,,,
BECN-ENR,2612.708344862536,2616.5732449826282,2618.370546836085,31.747004071913963,0.8325570776434548,0.9883380549155149,0.8330977203741888,0.3061931842924416,0.8816049860506731
BECN-RLI,,,,,,,,,
BECN-ACM,,,,,,,,,
BECN-DBD,,,,,,,,,
BECN-SNV,,,,,,,,,
BECN-UFCS,,,,,,,,,
BECN-SBGI,,,,,,,,,
BECN-WW,,,,,,,,,
BECN-SLM,-1904.8744490596928,-1903.4725341216563,-1919.8984096087179,1.8797905268391237,0.08317647189120866,0.6497414988446184,0.06476645259118144,0.06648903448209863,0.534950413227197
BECN-GBX,1367.4815767862792,1368.9765240517488,1371.3966274792838,-1.6659120270619034,0.5241900911655787,0.9968621442208,0.47726372497462544,-0.004743274266038665,0.9999013913797211
BECN-KNX,2116.262745915293,2125.12844554512,1995.676457612235,14.454289983239176,0.3323381749194889,0.5396452694245724,0.6152962203583421,0.2130202238066287,0.9155239560109396
BECN-CLB,,,,,,,,,
BECN-EQT,,,,,,,,,
BECN-ALE,,,,,,,,,
BECN-APOG,,,,,,,,,
BECN-WABC,,,,,,,,,
BECN-QRTEA,,,,,,,,,
BECN-SSB,,,,,,,,,
BECN-UHAL,,,,,,,,,
BECN-HRI,,,,,,,,,
BECN-KALU,2094.915709928484,2101.407038652617,2086.328879034325,15.446304107170235,0.7635940335613309,0.7644440763487609,0.5241907032927537,0.4349842820551907,0.6220839164173233
BECN-AZZ,,,,,,,,,
BECN-CBSH,,,,,,,,,
BECN-FSLR,,,,,,,,,
BECN-SPR,,,,,,,,,
BECN-KMPR,,,,,,,,,
