,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
LANC-KALU,2065.3512359238543,2071.721512621593,2068.5607207019184,6.725356030046569,0.6013775330314474,0.853791232417287,0.4769282239304762,0.47790761649449515,0.5179451511875742
LANC-AZZ,,,,,,,,,
LANC-CBSH,,,,,,,,,
LANC-FSLR,5112.179625069427,5112.079496615855,5116.080372943955,125.65330174197398,0.8986567159129528,1.0,2.1972713872388954,2.1486616322192242,0.511183714556438
LANC-SPR,1298.9519913873364,1300.4993323998617,1301.7643731892272,4.434302672536905,0.283218532783465,0.995430502798138,0.4590882320206225,-0.04233171043023595,0.991588424032328
LANC-KMPR,,,,,,,,,
LANC-THO,,,,,,,,,
LANC-ACHC,,,,,,,,,
LANC-M,,,,,,,,,
LANC-USM,,,,,,,,,
LANC-LTC,,,,,,,,,
LANC-SAFT,,,,,,,,,
LANC-CMC,134.92075375860827,137.61332491126768,136.3841369870247,5.449094466831579,0.176535265718456,0.9645973829087099,0.22891728585625548,0.11940453434377837,0.7891063259489668
LANC-MLI,,,,,,,,,
LANC-XRX,,,,,,,,,
LANC-INT,1948.8231735794166,1954.0332306208852,1952.365525475731,3.77435873721576,0.46137065523717774,0.9051855982348036,0.4733372908851676,0.4266562984787659,0.5637084962278037
LANC-NHI,,,,,,,,,
LANC-RCII,1008.4866101256684,1011.8995672294399,1012.6057268007957,3.1374576980032245,0.33382167583114286,0.9781043945373802,0.3553579426636982,0.1820169362583202,0.7939758800719129
LANC-DEI,,,,,,,,,
LANC-SCL,,,,,,,,,
